,Unnamed: 0_x,년도,순위,영화명,국적,개봉전상영횟수,천만감독유무,천만배우수,원작유무,시리즈유무,블로그리뷰수,유튜브예고편수,예고편조회수,특별상영관유무,개봉특수시기,티켓값,코로나확진자수,음식물제한,음료제한,시간제한,미접종자제한,주연배우팔로워수평균,인기장르,비인기장르,12세관람가,15세관람가,청소년관람불가,관객수,거리좌석합침
40,40,2021,8,베놈 2: 렛 데어 비 카니지,0,2,0,0,1,1,458,2,5382655,1,0,8760,2022,1,1,1,0,9004533,0,0,0,1,0,2123573,7
41,41,2021,9,소울,0,11,0,0,0,0,1931,4,809510,1,1,5424,581,1,0,1,0,1006346,0,1,0,0,0,2048228,6
42,42,2021,10,크루엘라,0,12,0,0,1,1,503,10,25127362,0,0,9783,621,1,1,0,0,0,0,0,1,0,0,1983397,5
43,43,2021,11,샹치와 텐 링즈의 전설,0,8,0,0,1,1,516,3,2336889,1,1,9386,1755,1,1,1,0,2578966,0,0,1,0,0,1740868,7
44,44,2021,12,인질,1,51,0,1,1,0,1055,2,841872,0,1,9898,1761,1,1,1,0,3649131,0,0,0,1,0,1638439,7
45,45,2021,13,듄,0,48,0,0,1,1,694,6,75313869,1,0,8731,1655,1,1,1,0,9337528,1,0,1,0,0,1549346,7
46,46,2021,14,보이스,1,436,0,0,0,0,1522,3,1901609,0,1,7553,1749,1,1,1,0,131776,1,0,0,1,0,1426357,7
47,47,2021,15,007 노 타임 투 다이,0,0,0,0,0,1,587,14,51926361,1,1,8555,2137,1,1,1,0,242448,0,0,1,0,0,1229971,7
48,48,2021,16,미나리,0,10,0,0,0,0,2149,12,6210027,0,0,8864,432,0,0,1,0,1785702,0,0,1,0,0,1134177,5
49,49,2021,17,발신제한,1,13,0,0,1,0,317,10,1864210,0,0,8725,486,1,1,0,0,127491,0,0,0,1,0,955808,5
50,50,2021,18,보스 베이비 2,0,0,0,0,0,1,301,10,6390394,0,0,9425,1352,1,1,1,0,1939379,0,1,0,0,0,925238,7
51,51,2021,19,콰이어트 플레이스 2,0,438,0,0,0,1,537,3,1514375,1,0,9871,561,1,1,0,0,186641,1,0,0,1,0,863339,5
52,52,2021,20,랑종,1,841,0,0,0,0,1360,2,2025711,0,0,7759,1009,1,1,1,0,222055,1,0,0,0,1,834338,7
53,53,2021,21,유체이탈자,1,33,0,0,0,0,480,2,51131,0,0,9802,2681,0,0,0,0,133733,0,0,0,1,0,811169,3
54,54,2021,22,컨저링3: 악마가 시켰다,0,5,0,0,0,1,218,3,2131382,1,0,8424,572,1,1,0,0,609185,1,0,0,1,0,799457,5
55,55,2021,23,기적,1,409,0,0,0,0,3158,2,2245264,0,1,9518,1749,1,1,1,0,14248503,0,0,1,0,0,715877,7
56,56,2021,24,고질라 VS. 콩,0,1,0,0,0,1,279,2,8809403,1,0,7643,437,0,0,1,0,58771961,0,0,1,0,0,703485,5
57,57,2021,25,킹스맨: 퍼스트 에이전트,0,3,0,0,0,1,388,8,17970039,0,0,7829,6663,1,0,1,1,0,0,0,0,0,1,622461,9
58,58,2021,26,엔칸토: 마법의 세계,0,7,0,0,0,1,190,8,46815990,0,0,9426,2681,0,0,0,0,2464431,0,1,0,0,0,620095,3
59,59,2021,27,연애 빠진 로맨스,1,54,0,0,0,0,431,7,1241108,0,0,8494,2681,0,0,0,0,730338,1,0,0,1,0,603015,3
60,60,2021,28,장르만 로맨스,1,120,0,1,0,0,301,10,1795270,0,0,9932,2258,0,0,0,0,277030,0,0,0,1,0,518441,3
